wordcount,darga,etnakhta,gadol,geresh,gereshmukdam,gershayim,kadma,karnepara,katan,mapakh,merkha,merkhakfula,munakh,pashta,pazer,revii,segol,shalshelet,sofpasuk,telishagedola,telishaketana,tevir,tipkha,tsinnorit,yerakhbenyomo,yetiv,zarka
18,0.245136186770428,1.0,0.07392996108949416,0.33073929961089493,0.0,0.17898832684824903,0.5486381322957199,0.0,1.7081712062256809,0.8404669260700389,1.7081712062256809,0.0038910505836575876,2.377431906614786,1.443579766536965,0.042801556420233464,0.7821011673151751,0.13618677042801555,0.007782101167315175,0.9961089494163424,0.10116731517509728,0.13229571984435798,0.5408560311284046,1.9961089494163424,0.011673151750972763,0.0,0.0933852140077821,0.1245136186770428
19,0.18018018018018017,1.0045045045045045,0.12612612612612611,0.4594594594594595,0.0,0.17117117117117117,0.7612612612612613,0.0,1.8018018018018018,0.9054054054054054,1.7432432432432432,0.0,2.463963963963964,1.5225225225225225,0.05855855855855856,0.8513513513513513,0.14414414414414414,0.0,0.9954954954954955,0.07657657657657657,0.20270270270270271,0.545045045045045,2.0045045045045047,0.0,0.0,0.0945945945945946,0.14414414414414414
20,0.22119815668202766,1.0,0.07834101382488479,0.4009216589861751,0.0,0.23963133640552994,0.728110599078341,0.0,1.7972350230414746,0.9769585253456221,1.847926267281106,0.0,2.806451612903226,1.5483870967741935,0.07834101382488479,0.9861751152073732,0.2304147465437788,0.0,0.9907834101382489,0.07834101382488479,0.17511520737327188,0.5944700460829493,1.9953917050691243,0.009216589861751152,0.0,0.11059907834101383,0.22119815668202766
21,0.23943661971830985,1.0140845070422535,0.09859154929577464,0.528169014084507,0.0,0.22535211267605634,0.9014084507042254,0.0,1.8169014084507042,0.9507042253521126,1.7887323943661972,0.0,2.992957746478873,1.6338028169014085,0.07042253521126761,0.9436619718309859,0.2112676056338028,0.0,1.0,0.19014084507042253,0.30985915492957744,0.528169014084507,1.9929577464788732,0.0,0.0,0.07746478873239436,0.2112676056338028
22,0.2251655629139073,1.0,0.10596026490066225,0.6622516556291391,0.0,0.16556291390728478,0.9735099337748344,0.0,1.9536423841059603,0.9602649006622517,1.8543046357615893,0.006622516556291391,3.013245033112583,1.6754966887417218,0.09933774834437085,1.0264900662251655,0.2185430463576159,0.0,0.9933774834437086,0.11920529801324503,0.33774834437086093,0.5033112582781457,1.9933774834437086,0.006622516556291391,0.0,0.152317880794702,0.2119205298013245
23,0.24210526315789474,1.0,0.11578947368421053,0.6631578947368421,0.0,0.24210526315789474,1.0315789473684212,0.0,1.9263157894736842,1.2,1.9473684210526316,0.0,3.389473684210526,1.768421052631579,0.10526315789473684,1.063157894736842,0.3157894736842105,0.0,1.0,0.15789473684210525,0.24210526315789474,0.6210526315789474,2.0,0.010526315789473684,0.0,0.10526315789473684,0.3263157894736842
24,0.2727272727272727,1.0,0.10227272727272728,0.6931818181818182,0.0,0.17045454545454544,1.0454545454545454,0.0,2.022727272727273,1.2613636363636365,1.8409090909090908,0.0,3.375,1.8295454545454546,0.125,1.2159090909090908,0.25,0.0,1.0,0.1590909090909091,0.32954545454545453,0.6022727272727273,2.0,0.0,0.0,0.09090909090909091,0.25
25,0.3673469387755102,1.0,0.04081632653061224,0.5102040816326531,0.0,0.3877551020408163,0.8775510204081632,0.0,2.2857142857142856,1.1428571428571428,1.7755102040816326,0.0,3.795918367346939,2.061224489795918,0.16326530612244897,1.163265306122449,0.3877551020408163,0.0,1.0,0.08163265306122448,0.1836734693877551,0.6530612244897959,1.9795918367346939,0.02040816326530612,0.0,0.14285714285714285,0.3673469387755102
26,0.2619047619047619,1.0238095238095237,0.0,0.8809523809523809,0.0,0.3333333333333333,1.3095238095238095,0.0,2.1666666666666665,1.0476190476190477,1.7619047619047619,0.0,3.7142857142857144,1.9523809523809523,0.16666666666666666,1.1666666666666667,0.2619047619047619,0.0,1.0,0.23809523809523808,0.2857142857142857,0.7619047619047619,2.0238095238095237,0.0,0.0,0.07142857142857142,0.2857142857142857
27,0.4230769230769231,1.0,0.07692307692307693,0.9230769230769231,0.0,0.2692307692307692,1.5,0.0,2.076923076923077,1.3461538461538463,1.8461538461538463,0.0,4.153846153846154,2.0384615384615383,0.15384615384615385,1.4230769230769231,0.34615384615384615,0.0,1.0,0.34615384615384615,0.4230769230769231,0.7307692307692307,2.0,0.07692307692307693,0.0,0.11538461538461539,0.2692307692307692
28,0.2608695652173913,1.0,0.08695652173913043,0.8695652173913043,0.0,0.21739130434782608,1.1304347826086956,0.0,2.0,1.2173913043478262,2.0434782608695654,0.0,3.869565217391304,1.8695652173913044,0.21739130434782608,1.391304347826087,0.30434782608695654,0.0,1.0,0.34782608695652173,0.6086956521739131,0.6086956521739131,2.0,0.0,0.0,0.13043478260869565,0.30434782608695654
29,0.2222222222222222,1.0,0.1111111111111111,1.0555555555555556,0.0,0.05555555555555555,1.3888888888888888,0.0,2.5,1.5555555555555556,1.9444444444444444,0.0,3.611111111111111,2.5555555555555554,0.16666666666666666,1.3333333333333333,0.2777777777777778,0.0,1.0,0.16666666666666666,0.3888888888888889,0.5,2.0,0.0,0.0,0.1111111111111111,0.2777777777777778
30,0.1875,1.0,0.0,0.8125,0.0,0.3125,1.375,0.0625,1.75,0.875,1.625,0.0,3.75,1.5625,0.0625,1.1875,0.4375,0.0,1.0,0.125,0.25,0.4375,2.0,0.0,0.0625,0.125,0.4375
31,0.2,1.0,0.0,1.2,0.0,0.0,2.0,0.0,2.4,1.4,1.4,0.0,2.6,2.0,0.4,1.4,0.6,0.0,1.0,0.6,0.0,0.6,2.0,0.0,0.0,0.2,0.6
32,0.6666666666666666,1.0,0.0,1.0,0.0,0.0,1.3333333333333333,0.0,1.6666666666666667,1.0,2.3333333333333335,0.0,4.0,1.6666666666666667,0.3333333333333333,1.0,0.3333333333333333,0.0,1.0,1.0,0.3333333333333333,1.0,2.0,0.0,0.0,0.0,0.3333333333333333
33,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.6666666666666667,0.0,5.0,1.3333333333333333,0.3333333333333333,1.6666666666666667,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,2.0,0.0,0.0,0.3333333333333333,0.3333333333333333
